Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
WNT6,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ZDHHC12,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ZMYND8,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
ZNF107,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
ZNF862,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
ZNF92,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ZSCAN29,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ABITRAM,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
ACAT1,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
ADPRH,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
AHRR,1,0,0,1,1,1,-1,0,5,3,15,1.Unperturbed
AKAP6,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
APLP2,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
ARF6,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
B3GNTL1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
BCKDHB,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
BRD9,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
C1orf109,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
CDHR5,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
CDK5RAP3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
CEBPD,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
CEP95,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
CHEK2,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
CHL1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
CLEC1B,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
CNOT8,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
CYB561A3,-1,0,0,-1,-1,1,-1,0,5,-3,-15,1.Unperturbed
