Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
CYB561D1,1,0,0,1,0,-1,1,1,5,3,15,1.Unperturbed
CYYR1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
DBR1,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
DENND3,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
E2F2,1,0,0,0,1,-1,1,1,5,3,15,1.Unperturbed
EAPP,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
EGLN3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
EIF3F,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
EPHB2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
ERBIN,1,0,1,1,0,-1,1,0,5,3,15,1.Unperturbed
FAM184A,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
FAM185A,0,0,1,1,0,-1,1,1,5,3,15,1.Unperturbed
FAM216A,-1,0,0,-1,-1,1,0,-1,5,-3,-15,0.Down-regulated
FASTKD2,1,0,0,1,1,1,-1,0,5,3,15,1.Unperturbed
FBXO16,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
FCGR2A,1,0,0,1,0,-1,1,1,5,3,15,1.Unperturbed
FKBP9,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
GPN3,0,0,0,-1,-1,1,-1,-1,5,-3,-15,0.Down-regulated
GPX1,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
H2BC21,1,0,1,1,0,-1,1,0,5,3,15,1.Unperturbed
HINT2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
HNRNPD,1,0,1,1,0,-1,1,0,5,3,15,1.Unperturbed
IFI6,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
INIP,1,0,0,1,0,-1,1,1,5,3,15,1.Unperturbed
IRF8,1,0,1,1,0,-1,1,NA,5,3,15,1.Unperturbed
ISG15,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
KCTD21,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
KIAA1958,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
KLC4,1,0,1,1,0,-1,1,0,5,3,15,1.Unperturbed
LMAN2L,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
LRRC37A3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
LTBP2,-1,0,0,-1,-1,1,0,-1,5,-3,-15,0.Down-regulated
MAP3K9,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
MDFIC,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
METTL4,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
MGST3,-1,0,NA,-1,0,1,-1,-1,5,-3,-15,0.Down-regulated
MPEG1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
MSH2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
MYD88,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
MZT1,-1,0,0,-1,0,1,-1,-1,5,-3,-15,0.Down-regulated
NAGA,1,0,1,1,0,-1,1,NA,5,3,15,1.Unperturbed
NCOA3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
NOL3,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
NSG2,1,0,0,1,0,-1,1,1,5,3,15,1.Unperturbed
